Subject,Conf_Rat,avg_dev,num_weights,BDev
5d338bb02381b7001761694e,Med,0.705882353,17,0.588113254
5c57631a47a04100010da795,Med,0.333333333,9,0.541609036
5d8d12f6d88e3a00142c9751,Med,0.933333333,13,0.616505302
5a3bdd2c8d005a0001829f3e,High,0,6,0.5
5c381b1ce4dbd30001fbc9c9,Low,-0.25,10,0.468793223
5c0a696aa4e5fc0001759543,High,-0.071428571,13,0.491083778
5db222231ff7b4000ab2cfc1,Low,-0.8,15,0.400138313
5c223d4a4a7e1f000137e5b9,Med,0.333333333,15,0.541609036
5c55fec09fcbc40001dc50b5,Med,-0.0625,16,0.492198306
5d88db42c1d06e001a1fdcab,Med,1.3125,13,0.663835581
5d45c2d1da9cb60015aa4312,Low,0.8,15,0.599861687
A2OVWCQ4B9AHFY,Med,-0.857142857,0,0.393005335
5b0fa626bd9c310001568d6c,Med,0.25,8,0.531206777
5a4bf09053a4560001ba0ebf,Low,0.7,8,0.587378976
5cf5134c8f8ff80019e76721,Low,0.466666667,16,0.558252651
5d9a09095223b6001809f1c9,Med,0,11,0.5
5dea76e109c1071948aed0ff,High,0.5,16,0.562413555
55ef4896b9401300137f40ac,High,1.117647059,17,0.639512652
5dfb693a73d72487b1fe495b,High,0.222222222,9,0.527739358
5e121701dc79bd8a1a22ca99,High,0.1,10,0.512482711
5e683c4d6ca0f9000d3f35fe,Low,0.166666667,12,0.520804518
5dfc64647adf4b971f329cbf,High,-0.125,16,0.484396611
5e3a7e26ca5cf328020dc4b6,Med,0,16,0.5
5c7cf8b58ca9000001b52f6e,High,1.357142857,14,0.66940822
5aa637861eda41000136d5d2,Low,-0.076923077,7,0.490397915
5bf17270871dd1000197226e,Med,-0.5625,0,0.429784751
5be0a65507684000010cf0f9,High,1,15,0.624827109
5c0150326a0c6e00013c6068,Low,-0.25,16,0.468793223
599eaf0fbfd73c00010ea24e,Low,0,10,0.5
5eaad5dcc2e64603e5122442,Med,2.133333333,15,0.766297833
5c3a34eebe1ddc0001aa35d6,Med,0.818181818,11,0.602131271
5e6fd38fe95be7071b5196bf,Med,0.538461538,16,0.567214597
5d55d562e04e1c0001f5e682,High,0.75,12,0.593620332
A3OB6REG5CGHK1,High,0.733333333,0,0.59153988
5d5f07cdca10e90016bc0103,Med,0.333333333,16,0.541609036
5ede432f75bfd1073c1501d8,Med,0,12,0.5
5ec7ec01fc75cf27b5dd16ee,High,0.625,16,0.578016943
5cfc3d486e9951001a0cb8cd,High,0.076923077,13,0.509602085
5dcefcd0307b8d05031d7264,High,-0.294117647,17,0.463286144
57e7bb4e73e67300012b8e2a,High,0.384615385,13,0.548010427
5993020a5f49420001caf86b,High,1.266666667,15,0.658114338
5a78e410ae9a0b0001a97274,High,-0.125,6,0.484396611
5bf32090a155c300016f3c06,High,0.1875,16,0.523405083
5e667f3bc3f30a4050fc8f2f,Med,0.8,16,0.599861687
5e500182080ac1000b1c7315,High,0.571428571,15,0.571329777
58742bf5d53c97000159df8c,High,-0.2,15,0.475034578
5d47abcc2dc88900166f27c9,High,-0.117647059,15,0.485314458
5ee0f5feec87fc0bc5eabdd7,Med,1.25,16,0.656033887
5d76a776f6630c0018431c01,Med,0.294117647,13,0.536713856
5b5a822e1ad8270001c4f28d,High,0.142857143,9,0.517832444
5e6d3b17a2b73d2f7aef3d04,High,-0.8125,12,0.398577974
5e1b9d3d08b5ba3c86879d5b,Med,1.3125,16,0.663835581
