Subject,Confidence,QBelief,Deviation,Conf_Rat,BDev
5d338bb02381b7001761694e,3,expectation_deviation_belief1,2,Med,0.749929458
5c57631a47a04100010da795,3,expectation_deviation_belief1,3,Med,0.874894187
5d73b97a40e4bc00019e1db8,3,expectation_deviation_belief1,0,Med,0.5
5d8d12f6d88e3a00142c9751,4,expectation_deviation_belief1,0,High,0.5
5c381b1ce4dbd30001fbc9c9,1,expectation_deviation_belief1,2,Low,0.749929458
5d615f7632cfbd001b1b6dcb,4,expectation_deviation_belief1,0,High,0.5
5c0a696aa4e5fc0001759543,4,expectation_deviation_belief1,3,High,0.874894187
5db222231ff7b4000ab2cfc1,1,expectation_deviation_belief1,0,Low,0.5
5c223d4a4a7e1f000137e5b9,3,expectation_deviation_belief1,1,Med,0.624964729
5c55fec09fcbc40001dc50b5,3,expectation_deviation_belief1,0,Med,0.5
5d88db42c1d06e001a1fdcab,3,expectation_deviation_belief1,1,Med,0.624964729
5d45c2d1da9cb60015aa4312,1,expectation_deviation_belief1,2,Low,0.749929458
A2OVWCQ4B9AHFY,3,expectation_deviation_belief1,0,Med,0.5
5b0fa626bd9c310001568d6c,4,expectation_deviation_belief1,3,High,0.874894187
5a4bf09053a4560001ba0ebf,2,expectation_deviation_belief1,1,Low,0.624964729
5cf5134c8f8ff80019e76721,4,expectation_deviation_belief1,0,High,0.5
5d9a09095223b6001809f1c9,3,expectation_deviation_belief1,0,Med,0.5
5dea76e109c1071948aed0ff,4,expectation_deviation_belief1,2,High,0.749929458
55ef4896b9401300137f40ac,5,expectation_deviation_belief1,3,High,0.874894187
5dfb693a73d72487b1fe495b,5,expectation_deviation_belief1,2,High,0.749929458
5e121701dc79bd8a1a22ca99,4,expectation_deviation_belief1,0,High,0.5
5e683c4d6ca0f9000d3f35fe,2,expectation_deviation_belief1,1,Low,0.624964729
5dfc64647adf4b971f329cbf,4,expectation_deviation_belief1,-1,High,0.375035271
5e3a7e26ca5cf328020dc4b6,2,expectation_deviation_belief1,0,Low,0.5
5c7cf8b58ca9000001b52f6e,4,expectation_deviation_belief1,2,High,0.749929458
5aa637861eda41000136d5d2,2,expectation_deviation_belief1,2,Low,0.749929458
5bf17270871dd1000197226e,3,expectation_deviation_belief1,0,Med,0.5
5be0a65507684000010cf0f9,4,expectation_deviation_belief1,1,High,0.624964729
5c0150326a0c6e00013c6068,2,expectation_deviation_belief1,0,Low,0.5
599eaf0fbfd73c00010ea24e,2,expectation_deviation_belief1,0,Low,0.5
5eaad5dcc2e64603e5122442,3,expectation_deviation_belief1,1,Med,0.624964729
5c3a34eebe1ddc0001aa35d6,4,expectation_deviation_belief1,1,High,0.624964729
5d55d562e04e1c0001f5e682,4,expectation_deviation_belief1,2,High,0.749929458
5e121b2b82a955890a9b3484,3,expectation_deviation_belief1,1,Med,0.624964729
A3OB6REG5CGHK1,4,expectation_deviation_belief1,1,High,0.624964729
5d5f07cdca10e90016bc0103,4,expectation_deviation_belief1,2,High,0.749929458
5ede432f75bfd1073c1501d8,4,expectation_deviation_belief1,1,High,0.624964729
5ec7ec01fc75cf27b5dd16ee,4,expectation_deviation_belief1,0,High,0.5
5cfc3d486e9951001a0cb8cd,4,expectation_deviation_belief1,-1,High,0.375035271
5dcefcd0307b8d05031d7264,5,expectation_deviation_belief1,0,High,0.5
57e7bb4e73e67300012b8e2a,4,expectation_deviation_belief1,0,High,0.5
5993020a5f49420001caf86b,5,expectation_deviation_belief1,2,High,0.749929458
5a78e410ae9a0b0001a97274,5,expectation_deviation_belief1,0,High,0.5
5bf32090a155c300016f3c06,4,expectation_deviation_belief1,1,High,0.624964729
5e667f3bc3f30a4050fc8f2f,3,expectation_deviation_belief1,-1,Med,0.375035271
5e500182080ac1000b1c7315,4,expectation_deviation_belief1,2,High,0.749929458
58742bf5d53c97000159df8c,4,expectation_deviation_belief1,-1,High,0.375035271
5d47abcc2dc88900166f27c9,4,expectation_deviation_belief1,2,High,0.749929458
5ee0f5feec87fc0bc5eabdd7,4,expectation_deviation_belief1,1,High,0.624964729
5d76a776f6630c0018431c01,3,expectation_deviation_belief1,0,Med,0.5
