Subject,Type,Timepoint,Rating,BRat
5d338bb02381b7001761694e,Self,Current,2,0.250114155
5c57631a47a04100010da795,Self,Current,3,0.5
5d73b97a40e4bc00019e1db8,Self,Current,1,0.000228311
5d8d12f6d88e3a00142c9751,Self,Current,3,0.5
5a3bdd2c8d005a0001829f3e,Self,Current,1,0.000228311
5c381b1ce4dbd30001fbc9c9,Self,Current,2,0.250114155
5d615f7632cfbd001b1b6dcb,Self,Current,1,0.000228311
5c0a696aa4e5fc0001759543,Self,Current,3,0.5
5db222231ff7b4000ab2cfc1,Self,Current,2,0.250114155
5c223d4a4a7e1f000137e5b9,Self,Current,2,0.250114155
5c55fec09fcbc40001dc50b5,Self,Current,2,0.250114155
5d88db42c1d06e001a1fdcab,Self,Current,2,0.250114155
5d45c2d1da9cb60015aa4312,Self,Current,2,0.250114155
A2OVWCQ4B9AHFY,Self,Current,2,0.250114155
5b0fa626bd9c310001568d6c,Self,Current,3,0.5
5a4bf09053a4560001ba0ebf,Self,Current,3,0.5
5cf5134c8f8ff80019e76721,Self,Current,2,0.250114155
5d9a09095223b6001809f1c9,Self,Current,3,0.5
5dea76e109c1071948aed0ff,Self,Current,3,0.5
55ef4896b9401300137f40ac,Self,Current,2,0.250114155
5dfb693a73d72487b1fe495b,Self,Current,2,0.250114155
5e121701dc79bd8a1a22ca99,Self,Current,2,0.250114155
5e683c4d6ca0f9000d3f35fe,Self,Current,3,0.5
5dfc64647adf4b971f329cbf,Self,Current,1,0.000228311
5e3a7e26ca5cf328020dc4b6,Self,Current,2,0.250114155
5c7cf8b58ca9000001b52f6e,Self,Current,1,0.000228311
5aa637861eda41000136d5d2,Self,Current,3,0.5
5bf17270871dd1000197226e,Self,Current,5,0.999771689
5be0a65507684000010cf0f9,Self,Current,3,0.5
5c0150326a0c6e00013c6068,Self,Current,3,0.5
599eaf0fbfd73c00010ea24e,Self,Current,2,0.250114155
5eaad5dcc2e64603e5122442,Self,Current,2,0.250114155
5c3a34eebe1ddc0001aa35d6,Self,Current,3,0.5
5e6fd38fe95be7071b5196bf,Self,Current,4,0.749885845
5d55d562e04e1c0001f5e682,Self,Current,1,0.000228311
5e121b2b82a955890a9b3484,Self,Current,1,0.000228311
A3OB6REG5CGHK1,Self,Current,2,0.250114155
5d5f07cdca10e90016bc0103,Self,Current,2,0.250114155
5ede432f75bfd1073c1501d8,Self,Current,3,0.5
5ec7ec01fc75cf27b5dd16ee,Self,Current,3,0.5
5cfc3d486e9951001a0cb8cd,Self,Current,1,0.000228311
5dcefcd0307b8d05031d7264,Self,Current,1,0.000228311
57e7bb4e73e67300012b8e2a,Self,Current,3,0.5
5993020a5f49420001caf86b,Self,Current,2,0.250114155
5a78e410ae9a0b0001a97274,Self,Current,3,0.5
5bf32090a155c300016f3c06,Self,Current,3,0.5
5e667f3bc3f30a4050fc8f2f,Self,Current,1,0.000228311
5e500182080ac1000b1c7315,Self,Current,4,0.749885845
58742bf5d53c97000159df8c,Self,Current,3,0.5
5d47abcc2dc88900166f27c9,Self,Current,3,0.5
5ee0f5feec87fc0bc5eabdd7,Self,Current,3,0.5
5d76a776f6630c0018431c01,Self,Current,1,0.000228311
5b5a822e1ad8270001c4f28d,Self,Current,1,0.000228311
5e6d3b17a2b73d2f7aef3d04,Self,Current,3,0.5
5e1b9d3d08b5ba3c86879d5b,Self,Current,3,0.5
5e15e63a4f40fbbd907aff1e,Self,Current,2,0.250114155
5d82be0cf45ead000150f026,Self,Current,2,0.250114155
558acd52fdf99b65685f03d9,Self,Current,1,0.000228311
5edc195a95d5090e1c3f91b2,Self,Current,2,0.250114155
5e39d872793a082024d9cf18,Self,Current,1,0.000228311
57dd766bbcd7150001ded5de,Self,Current,2,0.250114155
59417543c768a500011c9731,Self,Current,2,0.250114155
56f0393f3f71990005d0e66d,Self,Current,2,0.250114155
5e51dfe3618c57215938d7b7,Self,Current,5,0.999771689
5d54b73f1c1de70015d50959,Self,Current,3,0.5
5d6141608a11df001a477fbe,Self,Current,4,0.749885845
5be781ca3b047e0001a39e47,Self,Current,2,0.250114155
5e04446a783225ee6e9ed929,Self,Current,4,0.749885845
59a1de0cec2f75000124eeaf,Self,Current,2,0.250114155
5dd3e852b988873c617cd21a,Self,Current,3,0.5
5e975ea254955d0bfe9f7929,Self,Current,4,0.749885845
5dcf402982569a08ddd84086,Self,Current,3,0.5
5dcf7b49523df00ae9c4e07e,Self,Current,3,0.5
5ed17af75957f60d040e3f34,Self,Current,1,0.000228311
5edd13e3858a15a07241964b,Self,Current,1,0.000228311
578673a9275be6000135880e,Self,Current,2,0.250114155
5ecc6fb87c7c7646490f3cf8,Self,Current,3,0.5
58effc65c31d4d00015aa5b9,Self,Current,3,0.5
5e416e22fb96eb000b3fe2a8,Self,Current,2,0.250114155
5c43349027bb0d0001282427,Self,Current,1,0.000228311
5c2cdb4e213a1a0001b9c475,Self,Current,4,0.749885845
5eb2d579ed24d507082b07a2,Self,Current,2,0.250114155
5dc1cd625fd2031344dfe43d,Self,Current,1,0.000228311
5b97f8988ae8150001c7a887,Self,Current,2,0.250114155
5c5fc78e96dff400013607a5,Self,Current,2,0.250114155
5c804f4092ad770015846011,Self,Current,5,0.999771689
5d2e56ae72b6780001c66698,Self,Current,3,0.5
5d82d28977546f00166ae702,Self,Current,2,0.250114155
5a9262251eda410001360b2c,Self,Current,2,0.250114155
5ea492e3b1b3620a6fee3b90,Self,Current,3,0.5
59e833e72f63d30001c8fb86,Self,Current,2,0.250114155
5c71b63c4aa8ec0001f2bfc4,Self,Current,3,0.5
5dc4175e3317732e53467e8b,Self,Current,3,0.5
59658491b9153e0001617465,Self,Current,2,0.250114155
5c9ebf067114700016da2813,Self,Current,2,0.250114155
5eca8de81197051fa92b5a6a,Self,Current,2,0.250114155
57b60487e5b60d0001083aea,Self,Current,3,0.5
5d1beb9c9e033e0017a725dc,Self,Current,4,0.749885845
5dee72917309b950e5262f3a,Self,Current,5,0.999771689
56d0f57421cd29000a9737e4,Self,Current,3,0.5
5ec75df0d799ae1c11a8115c,Self,Current,3,0.5
5e65c211b45c6432d8227e4c,Self,Current,1,0.000228311
5c6a3c721519ac0001668582,Self,Current,3,0.5
5dc1eb838a84461511b3cd73,Self,Current,3,0.5
5cd062370081a60017789079,Self,Current,3,0.5
5dc8d8b90a0b38630af7a0ba,Self,Current,3,0.5
5d6ef023cfe0a400198f911e,Self,Current,4,0.749885845
5beb8419aec9ef0001e9d5fb,Self,Current,1,0.000228311
5ea8fe56a6d1a135a5a442cd,Self,Current,1,0.000228311
5c9a7872e2a8d00001585513,Self,Current,4,0.749885845
5c05ff644c14cf00019db0a9,Self,Current,4,0.749885845
5d847ac9be4b0b00188463d7,Self,Current,2,0.250114155
5eb33612d573b51326905f30,Self,Current,2,0.250114155
5c90094e71f3100016181ea9,Self,Current,2,0.250114155
5e82cbf3469f74a0b6d0fd29,Self,Current,3,0.5
5d0d16d991270800010b7dd7,Self,Current,1,0.000228311
5daa18ed95be5f00133609e8,Self,Current,1,0.000228311
5e6027f12036113753519c82,Self,Current,2,0.250114155
5b619b6c5256470001bcf992,Self,Current,3,0.5
5e35d4a59d323458753819d2,Self,Current,1,0.000228311
595b93be7882150001240e21,Self,Current,2,0.250114155
5e37b3d7abde98738c0f1e7c,Self,Current,4,0.749885845
5e29ada5d441690127fb5748,Self,Current,4,0.749885845
5e84b8443f064006f1b5215c,Self,Current,2,0.250114155
5dcca657854936945d68eaa9,Self,Current,1,0.000228311
5cd321750316ed0017c81bcd,Self,Current,2,0.250114155
5b4d39f2d4c93b00019c8217,Self,Current,3,0.5
55b9a9b0fdf99b6906d2aba4,Self,Current,1,0.000228311
58a43e029a17120001d910d5,Self,Current,2,0.250114155
5edeb3b209233c154f4d552a,Self,Current,1,0.000228311
5d9f8573ce3daf0015e3e400,Self,Current,1,0.000228311
5de1986c040f531f97eb6092,Self,Current,2,0.250114155
5490c822fdf99b71ba910e1a,Self,Current,2,0.250114155
5831f08ebfb3b400015a6ad4,Self,Current,5,0.999771689
5e6690ca0ef3a301da87b4d9,Self,Current,2,0.250114155
5e9b621702bbdc069b2496c4,Self,Current,2,0.250114155
5e6989bc651f7d241449fccf,Self,Current,1,0.000228311
5e8537fe23609011fe987ca7,Self,Current,1,0.000228311
5ea997837d28170bc5125c56,Self,Current,3,0.5
5d378df21acda30001e7191e,Self,Current,1,0.000228311
5cc1e9161758c700138de977,Self,Current,3,0.5
5c82a8cdfff8430015e9942f,Self,Current,2,0.250114155
5c925b0fb138fe0014e4036b,Self,Current,1,0.000228311
5e5ab88a43f33029b119a48c,Self,Current,2,0.250114155
5e19c8d1477f3b24e0ac5efa,Self,Current,3,0.5
5a212dcc7b108200011e040c,Self,Current,3,0.5
5c27f83289f035000174a168,Self,Current,3,0.5
5ed081544e61f3163c036286,Self,Current,2,0.250114155
5d6d6412f570e000184cf48b,Self,Current,2,0.250114155
5bddf0f876219d00014b145e,Self,Current,3,0.5
5dacf17a6f11e500163e3bc4,Self,Current,2,0.250114155
5e4af9e73485dd000c99724e,Self,Current,3,0.5
5bcb229aa8920a00013060fa,Self,Current,2,0.250114155
5b15307351caaf0001228d9b,Self,Current,1,0.000228311
5cb9bc10e50fe5001746c43b,Self,Current,3,0.5
5a0d9553fe645f0001e9f852,Self,Current,3,0.5
5c03217b1a20110001e979f0,Self,Current,3,0.5
5ec12ad1759b78000a4f9965,Self,Current,2,0.250114155
5e552a5e45774651f60e62b3,Self,Current,2,0.250114155
