Subject,TP,Question,Rating
5d338bb02381b7001761694e,Now,DecreasedInPersonVisits,0.000343879
5c57631a47a04100010da795,Now,DecreasedInPersonVisits,0.250171939
5d73b97a40e4bc00019e1db8,Now,DecreasedInPersonVisits,NA
5d8d12f6d88e3a00142c9751,Now,DecreasedInPersonVisits,0.000343879
5a3bdd2c8d005a0001829f3e,Now,DecreasedInPersonVisits,0.000343879
5c381b1ce4dbd30001fbc9c9,Now,DecreasedInPersonVisits,0.000343879
5d615f7632cfbd001b1b6dcb,Now,DecreasedInPersonVisits,NA
5c0a696aa4e5fc0001759543,Now,DecreasedInPersonVisits,0.5
5db222231ff7b4000ab2cfc1,Now,DecreasedInPersonVisits,0.749828061
5c223d4a4a7e1f000137e5b9,Now,DecreasedInPersonVisits,0.250171939
5c55fec09fcbc40001dc50b5,Now,DecreasedInPersonVisits,0.000343879
5d88db42c1d06e001a1fdcab,Now,DecreasedInPersonVisits,0.250171939
5d45c2d1da9cb60015aa4312,Now,DecreasedInPersonVisits,0.250171939
A2OVWCQ4B9AHFY,Now,DecreasedInPersonVisits,0.000343879
5b0fa626bd9c310001568d6c,Now,DecreasedInPersonVisits,0.250171939
5a4bf09053a4560001ba0ebf,Now,DecreasedInPersonVisits,0.250171939
5cf5134c8f8ff80019e76721,Now,DecreasedInPersonVisits,0.000343879
5d9a09095223b6001809f1c9,Now,DecreasedInPersonVisits,0.5
5dea76e109c1071948aed0ff,Now,DecreasedInPersonVisits,0.999656121
55ef4896b9401300137f40ac,Now,DecreasedInPersonVisits,0.250171939
5dfb693a73d72487b1fe495b,Now,DecreasedInPersonVisits,0.250171939
5e121701dc79bd8a1a22ca99,Now,DecreasedInPersonVisits,0.250171939
5e683c4d6ca0f9000d3f35fe,Now,DecreasedInPersonVisits,0.250171939
5dfc64647adf4b971f329cbf,Now,DecreasedInPersonVisits,0.749828061
5e3a7e26ca5cf328020dc4b6,Now,DecreasedInPersonVisits,0.000343879
5c7cf8b58ca9000001b52f6e,Now,DecreasedInPersonVisits,0.000343879
5aa637861eda41000136d5d2,Now,DecreasedInPersonVisits,0.5
5bf17270871dd1000197226e,Now,DecreasedInPersonVisits,0.749828061
5be0a65507684000010cf0f9,Now,DecreasedInPersonVisits,0.5
5c0150326a0c6e00013c6068,Now,DecreasedInPersonVisits,0.5
599eaf0fbfd73c00010ea24e,Now,DecreasedInPersonVisits,0.5
5eaad5dcc2e64603e5122442,Now,DecreasedInPersonVisits,0.5
5c3a34eebe1ddc0001aa35d6,Now,DecreasedInPersonVisits,0.250171939
5e6fd38fe95be7071b5196bf,Now,DecreasedInPersonVisits,0.250171939
5d55d562e04e1c0001f5e682,Now,DecreasedInPersonVisits,0.250171939
5e121b2b82a955890a9b3484,Now,DecreasedInPersonVisits,0.000343879
A3OB6REG5CGHK1,Now,DecreasedInPersonVisits,0.000343879
5d5f07cdca10e90016bc0103,Now,DecreasedInPersonVisits,0.5
5ede432f75bfd1073c1501d8,Now,DecreasedInPersonVisits,0.250171939
5ec7ec01fc75cf27b5dd16ee,Now,DecreasedInPersonVisits,0.5
5cfc3d486e9951001a0cb8cd,Now,DecreasedInPersonVisits,0.250171939
5dcefcd0307b8d05031d7264,Now,DecreasedInPersonVisits,0.5
57e7bb4e73e67300012b8e2a,Now,DecreasedInPersonVisits,0.250171939
5993020a5f49420001caf86b,Now,DecreasedInPersonVisits,0.250171939
5a78e410ae9a0b0001a97274,Now,DecreasedInPersonVisits,0.5
5bf32090a155c300016f3c06,Now,DecreasedInPersonVisits,0.000343879
5e667f3bc3f30a4050fc8f2f,Now,DecreasedInPersonVisits,0.000343879
5e500182080ac1000b1c7315,Now,DecreasedInPersonVisits,0.5
58742bf5d53c97000159df8c,Now,DecreasedInPersonVisits,0.250171939
5d47abcc2dc88900166f27c9,Now,DecreasedInPersonVisits,0.749828061
5ee0f5feec87fc0bc5eabdd7,Now,DecreasedInPersonVisits,0.250171939
5d76a776f6630c0018431c01,Now,DecreasedInPersonVisits,0.000343879
5b5a822e1ad8270001c4f28d,Now,DecreasedInPersonVisits,0.749828061
5e6d3b17a2b73d2f7aef3d04,Now,DecreasedInPersonVisits,0.5
5e1b9d3d08b5ba3c86879d5b,Now,DecreasedInPersonVisits,0.5
5e15e63a4f40fbbd907aff1e,Now,DecreasedInPersonVisits,0.000343879
5d82be0cf45ead000150f026,Now,DecreasedInPersonVisits,0.000343879
558acd52fdf99b65685f03d9,Now,DecreasedInPersonVisits,NA
5edc195a95d5090e1c3f91b2,Now,DecreasedInPersonVisits,0.000343879
5e39d872793a082024d9cf18,Now,DecreasedInPersonVisits,0.000343879
57dd766bbcd7150001ded5de,Now,DecreasedInPersonVisits,0.250171939
59417543c768a500011c9731,Now,DecreasedInPersonVisits,0.250171939
56f0393f3f71990005d0e66d,Now,DecreasedInPersonVisits,0.250171939
5e51dfe3618c57215938d7b7,Now,DecreasedInPersonVisits,0.000343879
5d54b73f1c1de70015d50959,Now,DecreasedInPersonVisits,0.000343879
5d6141608a11df001a477fbe,Now,DecreasedInPersonVisits,0.749828061
5be781ca3b047e0001a39e47,Now,DecreasedInPersonVisits,0.250171939
