Subject,Type,Timepoint,Rating,BRat
5d338bb02381b7001761694e,Other,Current,3,0.5
5c57631a47a04100010da795,Other,Current,2,0.250114155
5d73b97a40e4bc00019e1db8,Other,Current,2,0.250114155
5d8d12f6d88e3a00142c9751,Other,Current,4,0.749885845
5a3bdd2c8d005a0001829f3e,Other,Current,4,0.749885845
5c381b1ce4dbd30001fbc9c9,Other,Current,2,0.250114155
5d615f7632cfbd001b1b6dcb,Other,Current,2,0.250114155
5c0a696aa4e5fc0001759543,Other,Current,3,0.5
5db222231ff7b4000ab2cfc1,Other,Current,4,0.749885845
5c223d4a4a7e1f000137e5b9,Other,Current,3,0.5
5c55fec09fcbc40001dc50b5,Other,Current,2,0.250114155
5d88db42c1d06e001a1fdcab,Other,Current,3,0.5
5d45c2d1da9cb60015aa4312,Other,Current,2,0.250114155
A2OVWCQ4B9AHFY,Other,Current,3,0.5
5b0fa626bd9c310001568d6c,Other,Current,2,0.250114155
5a4bf09053a4560001ba0ebf,Other,Current,2,0.250114155
5cf5134c8f8ff80019e76721,Other,Current,2,0.250114155
5d9a09095223b6001809f1c9,Other,Current,3,0.5
5dea76e109c1071948aed0ff,Other,Current,4,0.749885845
55ef4896b9401300137f40ac,Other,Current,4,0.749885845
5dfb693a73d72487b1fe495b,Other,Current,2,0.250114155
5e121701dc79bd8a1a22ca99,Other,Current,3,0.5
5e683c4d6ca0f9000d3f35fe,Other,Current,4,0.749885845
5dfc64647adf4b971f329cbf,Other,Current,2,0.250114155
5e3a7e26ca5cf328020dc4b6,Other,Current,2,0.250114155
5c7cf8b58ca9000001b52f6e,Other,Current,1,0.000228311
5aa637861eda41000136d5d2,Other,Current,2,0.250114155
5bf17270871dd1000197226e,Other,Current,5,0.999771689
5be0a65507684000010cf0f9,Other,Current,3,0.5
5c0150326a0c6e00013c6068,Other,Current,3,0.5
599eaf0fbfd73c00010ea24e,Other,Current,2,0.250114155
5eaad5dcc2e64603e5122442,Other,Current,3,0.5
5c3a34eebe1ddc0001aa35d6,Other,Current,3,0.5
5e6fd38fe95be7071b5196bf,Other,Current,4,0.749885845
5d55d562e04e1c0001f5e682,Other,Current,3,0.5
5e121b2b82a955890a9b3484,Other,Current,2,0.250114155
A3OB6REG5CGHK1,Other,Current,2,0.250114155
5d5f07cdca10e90016bc0103,Other,Current,3,0.5
5ede432f75bfd1073c1501d8,Other,Current,4,0.749885845
5ec7ec01fc75cf27b5dd16ee,Other,Current,4,0.749885845
5cfc3d486e9951001a0cb8cd,Other,Current,2,0.250114155
5dcefcd0307b8d05031d7264,Other,Current,3,0.5
57e7bb4e73e67300012b8e2a,Other,Current,5,0.999771689
5993020a5f49420001caf86b,Other,Current,1,0.000228311
5a78e410ae9a0b0001a97274,Other,Current,3,0.5
5bf32090a155c300016f3c06,Other,Current,4,0.749885845
5e667f3bc3f30a4050fc8f2f,Other,Current,1,0.000228311
5e500182080ac1000b1c7315,Other,Current,3,0.5
58742bf5d53c97000159df8c,Other,Current,3,0.5
5d47abcc2dc88900166f27c9,Other,Current,3,0.5
5ee0f5feec87fc0bc5eabdd7,Other,Current,3,0.5
5d76a776f6630c0018431c01,Other,Current,3,0.5
5b5a822e1ad8270001c4f28d,Other,Current,3,0.5
5e6d3b17a2b73d2f7aef3d04,Other,Current,5,0.999771689
5e1b9d3d08b5ba3c86879d5b,Other,Current,2,0.250114155
5e15e63a4f40fbbd907aff1e,Other,Current,2,0.250114155
5d82be0cf45ead000150f026,Other,Current,3,0.5
558acd52fdf99b65685f03d9,Other,Current,3,0.5
5edc195a95d5090e1c3f91b2,Other,Current,2,0.250114155
5e39d872793a082024d9cf18,Other,Current,2,0.250114155
57dd766bbcd7150001ded5de,Other,Current,3,0.5
59417543c768a500011c9731,Other,Current,2,0.250114155
56f0393f3f71990005d0e66d,Other,Current,3,0.5
5e51dfe3618c57215938d7b7,Other,Current,3,0.5
5d54b73f1c1de70015d50959,Other,Current,3,0.5
5d6141608a11df001a477fbe,Other,Current,5,0.999771689
5be781ca3b047e0001a39e47,Other,Current,3,0.5
5e04446a783225ee6e9ed929,Other,Current,5,0.999771689
59a1de0cec2f75000124eeaf,Other,Current,3,0.5
5dd3e852b988873c617cd21a,Other,Current,3,0.5
5e975ea254955d0bfe9f7929,Other,Current,3,0.5
5dcf402982569a08ddd84086,Other,Current,3,0.5
5dcf7b49523df00ae9c4e07e,Other,Current,3,0.5
5ed17af75957f60d040e3f34,Other,Current,3,0.5
5edd13e3858a15a07241964b,Other,Current,1,0.000228311
578673a9275be6000135880e,Other,Current,3,0.5
5ecc6fb87c7c7646490f3cf8,Other,Current,3,0.5
58effc65c31d4d00015aa5b9,Other,Current,3,0.5
5e416e22fb96eb000b3fe2a8,Other,Current,3,0.5
5c43349027bb0d0001282427,Other,Current,2,0.250114155
5c2cdb4e213a1a0001b9c475,Other,Current,3,0.5
5eb2d579ed24d507082b07a2,Other,Current,2,0.250114155
5dc1cd625fd2031344dfe43d,Other,Current,1,0.000228311
5b97f8988ae8150001c7a887,Other,Current,2,0.250114155
5c5fc78e96dff400013607a5,Other,Current,3,0.5
5c804f4092ad770015846011,Other,Current,4,0.749885845
5d2e56ae72b6780001c66698,Other,Current,3,0.5
5d82d28977546f00166ae702,Other,Current,3,0.5
5a9262251eda410001360b2c,Other,Current,3,0.5
5ea492e3b1b3620a6fee3b90,Other,Current,3,0.5
59e833e72f63d30001c8fb86,Other,Current,2,0.250114155
5c71b63c4aa8ec0001f2bfc4,Other,Current,3,0.5
5dc4175e3317732e53467e8b,Other,Current,3,0.5
59658491b9153e0001617465,Other,Current,3,0.5
5c9ebf067114700016da2813,Other,Current,2,0.250114155
5eca8de81197051fa92b5a6a,Other,Current,2,0.250114155
57b60487e5b60d0001083aea,Other,Current,2,0.250114155
5d1beb9c9e033e0017a725dc,Other,Current,1,0.000228311
5dee72917309b950e5262f3a,Other,Current,3,0.5
56d0f57421cd29000a9737e4,Other,Current,4,0.749885845
5ec75df0d799ae1c11a8115c,Other,Current,3,0.5
5e65c211b45c6432d8227e4c,Other,Current,1,0.000228311
5c6a3c721519ac0001668582,Other,Current,1,0.000228311
5dc1eb838a84461511b3cd73,Other,Current,3,0.5
5cd062370081a60017789079,Other,Current,3,0.5
5dc8d8b90a0b38630af7a0ba,Other,Current,2,0.250114155
5d6ef023cfe0a400198f911e,Other,Current,3,0.5
5beb8419aec9ef0001e9d5fb,Other,Current,2,0.250114155
5ea8fe56a6d1a135a5a442cd,Other,Current,1,0.000228311
5c9a7872e2a8d00001585513,Other,Current,3,0.5
5c05ff644c14cf00019db0a9,Other,Current,4,0.749885845
