Subject,Scope,Threat,BThreat
5d338bb02381b7001761694e,Self,3,0.5
5c57631a47a04100010da795,Self,2,0.250085616
5d73b97a40e4bc00019e1db8,Self,1,0.000171233
5d8d12f6d88e3a00142c9751,Self,1,0.000171233
5a3bdd2c8d005a0001829f3e,Self,1,0.000171233
5c381b1ce4dbd30001fbc9c9,Self,3,0.5
5d615f7632cfbd001b1b6dcb,Self,1,0.000171233
5c0a696aa4e5fc0001759543,Self,2,0.250085616
5db222231ff7b4000ab2cfc1,Self,3,0.5
5c223d4a4a7e1f000137e5b9,Self,2,0.250085616
5c55fec09fcbc40001dc50b5,Self,5,0.999828767
5d88db42c1d06e001a1fdcab,Self,2,0.250085616
5d45c2d1da9cb60015aa4312,Self,2,0.250085616
A2OVWCQ4B9AHFY,Self,2,0.250085616
5b0fa626bd9c310001568d6c,Self,3,0.5
5a4bf09053a4560001ba0ebf,Self,2,0.250085616
5cf5134c8f8ff80019e76721,Self,2,0.250085616
5d9a09095223b6001809f1c9,Self,3,0.5
5dea76e109c1071948aed0ff,Self,4,0.749914384
55ef4896b9401300137f40ac,Self,2,0.250085616
5dfb693a73d72487b1fe495b,Self,4,0.749914384
5e121701dc79bd8a1a22ca99,Self,2,0.250085616
5e683c4d6ca0f9000d3f35fe,Self,2,0.250085616
5dfc64647adf4b971f329cbf,Self,1,0.000171233
5e3a7e26ca5cf328020dc4b6,Self,3,0.5
5c7cf8b58ca9000001b52f6e,Self,1,0.000171233
5aa637861eda41000136d5d2,Self,3,0.5
5bf17270871dd1000197226e,Self,4,0.749914384
5be0a65507684000010cf0f9,Self,3,0.5
5c0150326a0c6e00013c6068,Self,3,0.5
599eaf0fbfd73c00010ea24e,Self,3,0.5
5eaad5dcc2e64603e5122442,Self,5,0.999828767
5c3a34eebe1ddc0001aa35d6,Self,2,0.250085616
5e6fd38fe95be7071b5196bf,Self,3,0.5
5d55d562e04e1c0001f5e682,Self,5,0.999828767
5e121b2b82a955890a9b3484,Self,5,0.999828767
A3OB6REG5CGHK1,Self,2,0.250085616
5d5f07cdca10e90016bc0103,Self,2,0.250085616
5ede432f75bfd1073c1501d8,Self,4,0.749914384
5ec7ec01fc75cf27b5dd16ee,Self,2,0.250085616
5cfc3d486e9951001a0cb8cd,Self,2,0.250085616
5dcefcd0307b8d05031d7264,Self,1,0.000171233
57e7bb4e73e67300012b8e2a,Self,5,0.999828767
5993020a5f49420001caf86b,Self,1,0.000171233
5a78e410ae9a0b0001a97274,Self,3,0.5
5bf32090a155c300016f3c06,Self,3,0.5
5e667f3bc3f30a4050fc8f2f,Self,1,0.000171233
5e500182080ac1000b1c7315,Self,3,0.5
58742bf5d53c97000159df8c,Self,5,0.999828767
5d47abcc2dc88900166f27c9,Self,5,0.999828767
5ee0f5feec87fc0bc5eabdd7,Self,4,0.749914384
5d76a776f6630c0018431c01,Self,1,0.000171233
5b5a822e1ad8270001c4f28d,Self,2,0.250085616
5e6d3b17a2b73d2f7aef3d04,Self,1,0.000171233
5e1b9d3d08b5ba3c86879d5b,Self,3,0.5
5e15e63a4f40fbbd907aff1e,Self,2,0.250085616
5d82be0cf45ead000150f026,Self,5,0.999828767
558acd52fdf99b65685f03d9,Self,3,0.5
5edc195a95d5090e1c3f91b2,Self,2,0.250085616
5e39d872793a082024d9cf18,Self,3,0.5
57dd766bbcd7150001ded5de,Self,1,0.000171233
59417543c768a500011c9731,Self,2,0.250085616
56f0393f3f71990005d0e66d,Self,1,0.000171233
