"","Subject","prev_experience","curr_experience","stress_memory","num_weights","dev","time","sum_prev_curr"
"1","GU001",3.58333333333333,3.83333333333333,3.83333333333333,6,0.25,2,7.41666666666667
"2","GU002",3.25,3.5,3.66666666666667,6,0.416666666666667,2,6.75
"3","GU003",2.5,1.16666666666667,2.5,6,0,2,3.66666666666667
"4","GU004",3.83333333333333,4.2,4.16666666666667,6,0.333333333333333,2,8.03333333333333
"5","GU005",4.41666666666667,3.08333333333333,4.66666666666667,6,0.25,2,7.5
"6","GU009",4.58333333333333,4.83333333333333,5,6,0.416666666666667,2,9.41666666666667
"7","GU011",4.33333333333333,3.66666666666667,4.16666666666667,6,-0.166666666666667,2,8
"8","GU012",2.83333333333333,2.5,2.5,6,-0.333333333333333,2,5.33333333333333
"9","GU013",4.16666666666667,1.66666666666667,3.08333333333333,6,-1.08333333333333,2,5.83333333333333
"10","GU015",2.33333333333333,2.5,3,6,0.666666666666667,2,4.83333333333333
"11","GU019",3.83333333333333,2.4,4.5,6,0.666666666666667,2,6.23333333333333
"12","GU020",2.33333333333333,1.16666666666667,3.5,6,1.16666666666667,2,3.5
"13","GU028",4,2.83333333333333,4.66666666666667,6,0.666666666666667,2,6.83333333333333
"14","GU030",3.91666666666667,3,5,6,1.08333333333333,2,6.91666666666667
"15","GU031",4.4,4.5,4.8,5,0.4,2,8.9
"16","GU032",4.5,3.5,4,6,-0.5,2,8
"17","GU034",3.33333333333333,2.83333333333333,4.33333333333333,6,1,2,6.16666666666667
"18","GU035",2,2.33333333333333,3.5,6,1.5,2,4.33333333333333
"19","GU038",3.16666666666667,2,3.66666666666667,6,0.5,2,5.16666666666667
"20","GU039",4.83333333333333,5,5,6,0.166666666666667,2,9.83333333333333
"21","GU040",3.5,2.83333333333333,3.5,6,0,2,6.33333333333333
"22","GU041",4.16666666666667,3.66666666666667,4.66666666666667,6,0.5,2,7.83333333333333
"23","GU045",3.75,3.41666666666667,4,6,0.25,2,7.16666666666667
"24","GU047",3.91666666666667,2,4,6,0.0833333333333333,2,5.91666666666667
"25","GU048",3.83333333333333,3.5,4.16666666666667,6,0.333333333333333,2,7.33333333333333
"26","GU049",1.5,1,1.66666666666667,6,0.166666666666667,2,2.5
"27","GU050",3.33333333333333,1.83333333333333,3.33333333333333,6,0,2,5.16666666666667
"28","GU056",1.83333333333333,1,3,6,1.16666666666667,2,2.83333333333333
"29","GU057",2.83333333333333,1.83333333333333,4.5,6,1.66666666666667,2,4.66666666666667
"30","GU058",4.375,3.375,4.625,4,0.25,2,7.75
"31","GU060",3.16666666666667,1.33333333333333,3.83333333333333,6,0.666666666666667,2,4.5
"32","GU061",3.66666666666667,4.20833333333333,4.66666666666667,6,1,2,7.875
"33","GU062",3.25,3.66666666666667,4.33333333333333,6,1.08333333333333,2,6.91666666666667
"34","GU067",3.16666666666667,2.33333333333333,3.33333333333333,6,0.166666666666667,2,5.5
"35","GU068",3,3.9,3,6,0,2,6.9
"36","GU069",3.16666666666667,2.33333333333333,3.5,6,0.333333333333333,2,5.5
"37","GU075",4.33333333333333,2.33333333333333,4.83333333333333,6,0.5,2,6.66666666666667
"38","GU076",3.33333333333333,1.66666666666667,2.66666666666667,6,-0.666666666666667,2,5
"39","GU077",4.16666666666667,3.66666666666667,4.66666666666667,6,0.5,2,7.83333333333333
"40","GU079",2.66666666666667,1.8,2.83333333333333,6,0.166666666666667,2,4.46666666666667
"41","GU082",3.375,3.125,4.25,4,0.875,2,6.5
"42","GU084",3.16666666666667,2.83333333333333,4.33333333333333,6,1.16666666666667,2,6
"43","GU087",3.75,1.25,3.25,4,-0.5,2,5
"44","GU088",3.5,2.2,3.66666666666667,6,0.166666666666667,2,5.7
"45","GU089",3.33333333333333,3.33333333333333,3.58333333333333,6,0.25,2,6.66666666666667
"46","GU090",4.83333333333333,3.83333333333333,4.5,6,-0.333333333333333,2,8.66666666666667
"47","GU092",2.66666666666667,1.16666666666667,3.5,6,0.833333333333333,2,3.83333333333333
"48","GU093",3.75,3.66666666666667,3.91666666666667,6,0.166666666666667,2,7.41666666666667
"49","GU094",3.83333333333333,2.58333333333333,3.41666666666667,6,-0.416666666666667,2,6.41666666666667
"50","GU095",3.5,2.5,3.33333333333333,6,-0.166666666666667,2,6
"51","GU097",2.33333333333333,1,4.16666666666667,6,1.83333333333333,2,3.33333333333333
"52","GU100",4.66666666666667,4.08333333333333,4.16666666666667,6,-0.5,2,8.75
"53","GU101",2.33333333333333,1.66666666666667,2.83333333333333,6,0.5,2,4
"54","GU102",3.5,2.91666666666667,3.5,6,0,2,6.41666666666667
"55","GU104",4.29166666666667,3.33333333333333,4.66666666666667,6,0.375,2,7.625
"56","GU106",3,3.375,3.875,4,0.875,2,6.375
"57","GU107",4.5,2.5,4.5,4,0,2,7
"58","GU108",3.66666666666667,2.8,4,6,0.333333333333333,2,6.46666666666667
"59","GU109",3.66666666666667,3,4.16666666666667,6,0.5,2,6.66666666666667
"60","GU110",1.33333333333333,1.33333333333333,2.58333333333333,6,1.25,2,2.66666666666667
"61","GU113",3.58333333333333,3.6,4.16666666666667,6,0.583333333333333,2,7.18333333333333
"62","GU114",4,2.66666666666667,4,6,0,2,6.66666666666667
"63","GU116",3,2,4,6,1,2,5
"64","GU117",2.75,2.16666666666667,2.16666666666667,6,-0.583333333333333,2,4.91666666666667
"65","GU118",4,4,4.5,6,0.5,2,8
"66","GU120",3.58333333333333,3.16666666666667,4.5,6,0.916666666666667,2,6.75
"67","GU121",4.41666666666667,4.33333333333333,4.33333333333333,6,-0.0833333333333333,2,8.75
"68","GU123",2.83333333333333,2,4.16666666666667,6,1.33333333333333,2,4.83333333333333
"69","GU124",3.5,3.8,4.83333333333333,6,1.33333333333333,2,7.3
"70","GU128",3.33333333333333,1.66666666666667,4,6,0.666666666666667,2,5
"71","GU129",4.5,4.5,4.75,4,0.25,2,9
"72","GU130",3,3.5,3.75,4,0.75,2,6.5
"73","GU132",3.5,2.83333333333333,3.33333333333333,6,-0.166666666666667,2,6.33333333333333
"74","GU133",2.83333333333333,1.8,2.33333333333333,6,-0.5,2,4.63333333333333
"75","GU134",4,3.66666666666667,4.5,6,0.5,2,7.66666666666667
"76","GU137",3.66666666666667,2.16666666666667,4.5,6,0.833333333333333,2,5.83333333333333
"77","GU138",3.5,3.33333333333333,3.5,6,0,2,6.83333333333333
"78","GU139",3.25,1.75,3,4,-0.25,2,5
"79","GU140",3.25,2.83333333333333,4.16666666666667,6,0.916666666666667,2,6.08333333333333
"80","GU142",2.33333333333333,1,2.5,6,0.166666666666667,2,3.33333333333333
"81","GU148",4.16666666666667,4.25,4.41666666666667,6,0.25,2,8.41666666666667
"82","GU151",4.66666666666667,3.66666666666667,4.83333333333333,6,0.166666666666667,2,8.33333333333333
"83","GU152",3.33333333333333,2.66666666666667,4,6,0.666666666666667,2,6
"84","GU153",3,2,3.16666666666667,6,0.166666666666667,2,5
"85","GU154",2.83333333333333,2.66666666666667,3.16666666666667,6,0.333333333333333,2,5.5
"86","GU156",4.83333333333333,3.5,4.66666666666667,6,-0.166666666666667,2,8.33333333333333
"87","GU157",2.66666666666667,1.33333333333333,2.66666666666667,6,0,2,4
"88","GU164",3.66666666666667,4.5,4.5,6,0.833333333333333,2,8.16666666666667
"89","GU165",4,4,4.16666666666667,6,0.166666666666667,2,8
"90","GU166",2.16666666666667,2.33333333333333,3.16666666666667,6,1,2,4.5
"91","GU170",3.83333333333333,2.33333333333333,3.16666666666667,6,-0.666666666666667,2,6.16666666666667
