Header,Item,Subscale,reverse score,Response type
Researcher,,,,Your name
StudyName,,,,Name of your study
StudyDate,,,,*Please convert to short date format (M/D/YY) in Excel
SubjectID_Prolific_MTurk,Prolific/MTurk ID,,, Prolific or MTurk ID for subject
Platform,Prolific or MTurk,,,Prolific/MTurk
Demographics_age,Age,,,numerical
Demographics_gender,Gender,,,Male/Female/Other
Demographics_HispanicLatino,Hispanic / Latino,,,Yes/No
Demographics_race,Race,,,"American Indian/Alaskan Native, Asian, Black/African American, Native Hawaiian/Other Pacific Islander, White/Caucasian"
Demographics_USA,Do you live in the United States of America?,,,Yes/No
Demographics_state,In which state or territory do you live?,,,"Alabama, Alaska, American Samoa, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Guam, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Northern Mariana Islands, Ohio, Oklahoma, Oregon, Pennsylvania, Puerto Rico, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, U.S. Virgin Islands, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
Demographics_town,In which town/city do you live?,,,free response
Demographics_ZIPCode,What is your postal/ZIP code?,,,numeric
SES_ladderCommunity,"Please indicate the number corresponding to the rung where you think you stand at this time in your life, relative to other people IN YOUR COMMUNITY.",,,"1 to 10 (data may appear as e.g., 4</div)"
SES_ladderCountry,"Please indicate the number corresponding to the rung where you think you stand at this time in your life, relative to other people IN YOUR COUNTRY.",,,1 to 10
SES_educationLevel,What is the highest grade (or year) of regular school you have completed?,,,01-20+
SES_educationDegree,What is the highest degree you earned?,,,"High school diploma or equivalency (GED), Associate degree (junior college), Bachelor's degree, Master's degree, Doctorate, Professional (MD, JD, DDS, etc.), Other specify, None of the above (less than high school)"
COVID_1_selfisolate,"Are you self-isolating to help prevent the spread of COVID-19 (e.g., staying at home, social distancing, etc.)?",,,Yes/No
COVID_2_days_selfisolate,How many days has it been since you started self-isolating?,,,numerical
COVID_3_stress_selfisolate,How stressful has it been for you to self-isolate?,,,Not at all stressful 1; 2;  Somewhat stressful 3; 4; Extremely stressful 5
COVID_4_self_symptoms,"Do you currently have any symptoms associated with COVID-19 (e.g., fever, cough, shortness of breath)?",,,Yes/No
COVID_5_others_symptoms,Do any of your close friends or family members currently have any symptoms associated with COVID-19?,,,Yes/No
COVID_6_self_worriedInfected,How worried are you about the possibility that you might become infected with COVID-19?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_7_oth_worriedInfected,How worried are you about the possibility that any of your close friends or family members might become infected with COVID-19?,,,Not at all worried 1; 2; Somewhat worried 3; 4; Extremely worried 5
COVID_8_self_riskgroup,Do you belong to a group at risk of developing severe or life-threatening symptoms due to COVID-19?,,,Yes/No
COVID_9_oth_riskgroup,Do any of your close friends or family members belong to a group at risk of developing severe or life-threatening symptoms due to COVID-19?,,,Yes/No
COVID_10_self_firstresp,Are you currently serving as a first responder?,,,Yes/No
