Subject,num_weights,Covid_Exp2,Covid_Exp1,BCovid_Rem
546f8a9cfdf99b4a593414ea,16,0.04718664,0.015958133,0.030056406
5484fd09fdf99b38dfb9645c,15,0.083619899,0.116930307,0.203531678
5490c822fdf99b71ba910e1a,6,0.300137552,0.100275103,0.176913779
54af2a48fdf99b09c01b3801,16,0.203329178,0.250171939,0.27971394
550bb70bfdf99b6853dab45e,14,0.107413048,0.143102771,0.183767123
557d84c8fdf99b4d577438df,17,0.117910025,0.294259244,0.088799355
5588d358fdf99b304ee5674f,12,0.425051582,0.425051582,0.583219178
558acd52fdf99b65685f03d9,2,0.000343879,0.000343879,0.250342466
5591cd21fdf99b63126f6c60,12,0.091190446,0.363730149,0.059427881
559d9916fdf99b1e2b2dc6b8,8,0.000343879,0.071723325,0.000684932
559ef308fdf99b2616ff2a4f,9,0.222413266,0.305689286,0.132856567
559fa17cfdf99b69c369d364,16,0.062800894,0.187714924,0.147542305
55b237e6fdf99b19ea79d2f7,15,0.166895919,0.450034388,0.250342466
55b9a9b0fdf99b6906d2aba4,10,0.000343879,0.055861226,0.000684932
55be9292fdf99b4c861994d8,8,0.535689723,0.321551385,0.312756849
55cd909c34e906000a8d1e1e,6,0.33344796,0.208533929,0.286007828
55ddb84550a1f7000b90d65a,16,0.234557686,0.062800894,0.309085415
55ef4896b9401300137f40ac,17,0.16199733,0.441216927,0.441257051
55f63fc432af740012171ef6,17,0.117910025,0.147301562,0.250342466
56259489ed6e5a0005c80fde,7,0.250171939,0.041981889,0.125513699
5687d85e369319000c269c55,16,0.000343879,0.172100671,0.187928082
56d0f57421cd29000a9737e4,15,0.089568186,0.178792494,0.11817083
56e130548b1c33000a388671,11,0.400068776,0.400068776,0.383493151
56e1bbcb6ce054000b3ffcb8,16,0.172100671,0.406314477,0.656035959
56e6a66af6ed900006a5867c,15,0.649896836,0.549965612,0.515603596
56ec151f388e1d000a5924d0,10,0.361206633,0.472241327,0.42510274
56f0393f3f71990005d0e66d,17,0.059126952,0.044431184,0.235656728
56f9364e895094000c8f4967,16,0.031572387,0.04718664,0.103485093
56fa002e8425ef000b3a4276,15,0.150240715,0.033654287,0.147542305
56fdff4ee0f9ff000f19c466,6,0.125257909,0.125257909,0.08390411
570521cfde5095001018a0c8,15,0.066964695,0.033654287,0.000684932
576017836442fa0006cfb7cd,6,0.000343879,0.000343879,0.033972603
5761c23632676f0007eb36b3,2,0.125257909,0.250171939,0.100547945
57656f6c2bfddf000125cce5,17,0.264867708,0.338346549,0.265028203
578673a9275be6000135880e,5,0.100275103,0.200206327,0.217054795
57a761c22fc0d400012c9656,16,0.187714924,0.687371045,0.397199839
57b60487e5b60d0001083aea,7,0.58327602,0.5,0.375171233
57b9bafdfc23450001acc1ac,14,0.154084224,0.403912284,0.187928082
57bb6878eb28030001f7ea94,13,0.833104081,0.749828061,0.803155577
57bca845e2101600015e8e88,13,0.021162884,0.021162884,0.078702911
57d6dd8d6598aa000199188b,12,0.704404777,0.477288358,0.711248683
57dd766bbcd7150001ded5de,15,0.266827144,0.266827144,0.23473887
57e7bb4e73e67300012b8e2a,13,0.173301767,0.154084224,0.250342466
5800e50de3536e00012840f4,11,0.000343879,0.045767163,0.000684932
58066bf52d948b00014ba876,11,0.568134926,0.431865074,0.483356164
