"","Subject","age","gender"
"1","NSU130",NA,NA
"2","NYU003",53,"Female"
"3","GU100",20,"Female"
"4","GU011",20,"Female"
"5","STLM181",0,"Female"
"6","STLM138",63,"Female"
"7","UCSC073",36,"Female"
"8","GU152",21,"Female"
"9","NSU021",46,"Female"
"10","GU069",23,"Female"
"11","STLM172",81,"Male"
"12","NSU170",56,"Female"
"13","STLM118",83,"Female"
"14","NYU221",18,"Female"
"15","NYU228",51,"Male"
"16","NSU023",29,"Female"
"17","NYU028",40,"Male"
"18","NSU201",29,"Female"
"19","GU066",0,"Not stated"
"20","NSU172",77,"Female"
"21","NYU261",50,"Male"
"22","NYU031",38,"Female"
"23","NSU185",52,"Female"
"24","GU089",18,"Female"
"25","UCSC037",22,"Male"
"26","NYU130",21,"Male"
"27","STLC027",18,"Female"
"28","NYU215",22,"Female"
"29","GU085",21,"Female"
"30","STLM218",78,"Female"
"31","GU128",21,"Female"
"32","STAN122",0,"Not stated"
"33","STAN007",0,"Male"
"34","STLM068",76,"Female"
"35","NYU325",33,"Male"
"36","NYU001",58,"Female"
"37","NSU207",0,"Female"
"38","GU154",20,"Female"
"39","NSU213",0,"Not stated"
"40","NYU004",28,"Female"
"41","GU025",19,"Male"
"42","STLM185",67,"Female"
"43","GU098",21,"Female"
"44","GU055",27,"Female"
"45","YALE009",54,"Female"
"46","STLM137",65,"Male"
"47","STLM202",57,"Female"
"48","YALE010",18,"Male"
"49","NYU026",20,"Male"
"50","UCSC032",21,"Male"
"51","STLM210",86,"Female"
"52","STLM022",0,"Not stated"
"53","UCSC011",20,"Male"
"54","NYU037",19,"Female"
"55","YALE012",25,"Male"
"56","NYU040",47,"Female"
"57","NSU057",42,"Female"
"58","STLM089",62,"Female"
"59","NYU048",59,"Female"
"60","NYU054",23,"Male"
"61","STLC069",21,"Male"
"62","STLM108",87,"Male"
"63","NYU058",21,"Female"
"64","STLC020",20,"Male"
"65","UCSC018",22,"Female"
"66","STLM195",38,"Male"
"67","NSU055",37,"Female"
"68","NSU198",24,"Female"
"69","GU103",19,"Male"
"70","NSU187",47,"Female"
"71","NYU072",48,"Male"
"72","STLM055",0,"Not stated"
"73","STLC032",20,"Male"
"74","NSU112",20,"Male"
"75","GU082",21,"Female"
"76","NYU084",47,"Male"
"77","NSU009",33,"Female"
"78","NSU165",25,"Female"
"79","GU132",18,"Male"
"80","STLM099",47,"Female"
"81","STLM180",76,"Male"
"82","NSU030",35,"Male"
"83","STLM054",0,"Not stated"
"84","NSU182",35,"Female"
"85","NSU181",25,"Female"
"86","STLM148",85,"Male"
"87","GU083",19,"Female"
"88","NYU099",20,"Female"
"89","NYU102",20,"Male"
"90","GU172",19,"Female"
"91","STAN043",18,"Male"
"92","NYU103",53,"Female"
"93","NSU124",68,"Male"
"94","STAN157",19,"Female"
"95","YALE033",41,"Female"
"96","STLC013",69,"Male"
"97","STLC050",36,"Male"
"98","UCSC013",20,"Female"
"99","UCSC065",18,"Male"
"100","GU099",29,"Female"
"101","NYU135",64,"Male"
"102","STAN062",45,"Male"
"103","NSU115",66,"Male"
"104","NYU147",40,"Female"
"105","STLM136",67,"Female"
"106","STLM107",72,"Female"
"107","YALE041",30,"Female"
"108","STLM096",93,"Female"
"109","NSU188",24,"Male"
"110","NSU173",30,"Female"
"111","NYU154",22,"Female"
"112","NYU158",45,"Male"
"113","UCSC027",21,"Female"
"114","NYU159",21,"Female"
"115","GU007",0,"Not stated"
"116","NYU163",46,"Female"
"117","NSU006",40,"Female"
"118","GU081",18,"Male"
"119","STLC021",21,"Female"
"120","NSU212",0,"Not stated"
"121","STAN147",45,"Female"
"122","UCSC049",0,"Not stated"
"123","GU142",21,"Female"
"124","NSU050",65,"Male"
"125","STAN152",18,"Female"
"126","STLM013",88,"Female"
"127","NYU174",21,"Female"
"128","STLC054",19,"Male"
"129","NSU104",28,"Female"
"130","NSU194",26,"Male"
"131","NYU181",24,"Female"
"132","NYU184",22,"Female"
"133","NYU185",19,"Male"
"134","UCSC006",21,"Male"
"135","NYU193",24,"Female"
"136","STLM047",79,"Female"
"137","NYU194",19,"Male"
"138","UCSC052",21,"Female"
"139","GU155",20,"Male"
"140","STLM149",83,"Female"
"141","STLM091",74,"Female"
"142","GU151",18,"Female"
"143","STLM085",34,"Female"
"144","STAN019",20,"Female"
"145","GU168",18,"Male"
"146","STAN009",38,"Male"
"147","YALE060",18,"Female"
"148","HUY034",18,"Female"
"149","NSU097",40,"Female"
"150","NSU128",56,"Female"
"151","NSU214",0,"Not stated"
"152","NYU277",0,"Not stated"
"153","STAN059",38,"Female"
"154","STAN081",30,"Female"
"155","STAN123",39,"Female"
"156","STAN124",27,"Male"
"157","STLM194",0,"Not stated"
"158","NYU332",18,"Female"
"159","STLM189",75,"Female"
"160","STLM190",69,"Female"
"161","STLM094",54,"Female"
"162","YALE064",19,"Male"
"163","GU072",23,"Female"
"164","GU111",19,"Female"
"165","STLM052",0,"Not stated"
"166","GU056",36,"Male"
"167","NYU225",18,"Female"
"168","STAN026",31,"Female"
"169","STLC005",0,"Female"
"170","GU023",18,"Female"
"171","YALE068",0,"Not stated"
"172","GU149",19,"Female"
"173","STLM141",80,"Female"
"174","GU125",20,"Female"
"175","NSU117",23,"Female"
"176","STLM176",65,"Female"
"177","STLM081",78,"Female"
"178","NYU256",21,"Male"
"179","STAN027",29,"Male"
"180","GU130",19,"Female"
"181","NSU039",21,"Female"
"182","STAN110",32,"Male"
"183","UCSC025",24,"Female"
"184","STLM053",84,"Female"
"185","STLM101",43,"Female"
"186","NYU278",19,"Female"
"187","STLM156",49,"Female"
"188","GU078",20,"Female"
