"","Subject","prev_experience","curr_experience","stress_memory","memdev","curr_dev","num_weights_updated","twovar_stress_memory","twovar_prev_experience","time"
"1","GU001",3.58333333333333,3.83333333333333,3.83333333333333,0.25,0.25,6,3.83333333333333,3.58333333333333,2
"2","GU002",3.25,3.5,3.66666666666667,0.416666666666667,0.25,6,3.66666666666667,3.25,2
"3","GU003",2.5,1.16666666666667,2.5,0,-1.33333333333333,6,2.5,2.5,2
"4","GU004",3.83333333333333,4.2,4.16666666666667,0.333333333333333,0.4,5,4.16666666666667,3.83333333333333,2
"5","GU005",4.41666666666667,3.08333333333333,4.66666666666667,0.25,-1.33333333333333,6,4.66666666666667,4.41666666666667,2
"6","GU006",2.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"7","GU007",3.33333333333333,NA,NA,NA,NA,0,NA,NA,2
"8","GU008",4.41666666666667,NA,NA,NA,NA,0,NA,NA,2
"9","GU009",4.58333333333333,4.83333333333333,5,0.416666666666667,0.25,6,5,4.58333333333333,2
"10","GU010",3,NA,NA,NA,NA,0,NA,NA,2
"11","GU011",4.33333333333333,3.66666666666667,4.16666666666667,-0.166666666666667,-0.666666666666667,6,4.16666666666667,4.33333333333333,2
"12","GU012",2.83333333333333,2.5,2.5,-0.333333333333333,-0.333333333333333,6,2.5,2.83333333333333,2
"13","GU013",4.16666666666667,1.66666666666667,3.08333333333333,-1.08333333333333,-2.5,6,3.08333333333333,4.16666666666667,2
"14","GU014",3.5,NA,NA,NA,NA,0,NA,NA,2
"15","GU015",2.33333333333333,2.5,3,0.666666666666667,0.166666666666667,6,3,2.33333333333333,2
"16","GU016",3.16666666666667,NA,NA,NA,NA,0,NA,NA,2
"17","GU017",3.66666666666667,NA,NA,NA,NA,0,NA,NA,2
"18","GU018",2.83333333333333,NA,NA,NA,NA,0,NA,NA,2
"19","GU019",3.83333333333333,2.4,4.5,0.666666666666667,-1.4,5,4.5,3.83333333333333,2
"20","GU020",2.33333333333333,1.16666666666667,3.5,1.16666666666667,-1.16666666666667,6,3.5,2.33333333333333,2
"21","GU021",3.5,NA,NA,NA,NA,0,NA,NA,2
