"","Subject","mean_experienced1","mean_experienced2","mean_experienced3","mean_experienced4","mean_remembered2","mean_remembered3","mean_remembered4","mean_memdev2","mean_memdev3","mean_memdev4","mean_currdev2","mean_currdev3","mean_currdev4","n_3IVs_t2","n_3IVs_t3","n_3IVs_t4","n_2IVs_t2","n_2IVs_t3","n_2IVs_t4","twovar_mean_remembered2","twovar_mean_experienced1_t2","twovar_mean_remembered3","twovar_mean_experienced1_t3","twovar_mean_remembered4","twovar_mean_experienced1_t4"
"1","GU001",3.58333333333333,3.83333333333333,3,3.375,3.83333333333333,4.5,4.16666666666667,0.25,0.916666666666667,0.5,0.25,-0.583333333333333,-0.25,6,6,2,6,6,2,3.83333333333333,3.58333333333333,4.5,3.58333333333333,4.16666666666667,3.66666666666667
"2","GU002",3.25,3.5,NA,3.75,3.66666666666667,NA,3.70833333333333,0.416666666666667,NA,0.458333333333333,0.25,NA,0.5,6,0,6,6,0,6,3.66666666666667,3.25,NA,NA,3.70833333333333,3.25
"3","GU003",2.5,1.16666666666667,1.33333333333333,2.25,2.5,2.5,3.75,0,0,1.25,-1.33333333333333,-1.16666666666667,-0.25,6,6,6,6,6,6,2.5,2.5,2.5,2.5,3.75,2.5
"4","GU004",3.83333333333333,4.2,4.5,3,4.16666666666667,4.16666666666667,3.54166666666667,0.333333333333333,0.333333333333333,-0.291666666666667,0.4,0.666666666666667,-0.833333333333333,5,6,6,5,6,6,4.16666666666667,3.83333333333333,4.16666666666667,3.83333333333333,3.54166666666667,3.83333333333333
"5","GU005",4.41666666666667,3.08333333333333,NA,2.83333333333333,4.66666666666667,NA,4.08333333333333,0.25,NA,-0.333333333333333,-1.33333333333333,NA,-1.58333333333333,6,0,6,6,0,6,4.66666666666667,4.41666666666667,NA,NA,4.08333333333333,4.41666666666667
"6","GU006",2.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"7","GU007",3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"8","GU008",4.41666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"9","GU009",4.58333333333333,4.83333333333333,NA,NA,5,NA,NA,0.416666666666667,NA,NA,0.25,NA,NA,6,0,0,6,0,0,5,4.58333333333333,NA,NA,NA,NA
"10","GU010",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"11","GU011",4.33333333333333,3.66666666666667,3.5,4,4.16666666666667,4.16666666666667,4.33333333333333,-0.166666666666667,-0.166666666666667,0,-0.666666666666667,-0.833333333333333,-0.333333333333333,6,6,6,6,6,6,4.16666666666667,4.33333333333333,4.16666666666667,4.33333333333333,4.33333333333333,4.33333333333333
"12","GU012",2.83333333333333,2.5,NA,2.6,2.5,NA,3,-0.333333333333333,NA,0.166666666666667,-0.333333333333333,NA,-0.6,6,0,5,6,0,5,2.5,2.83333333333333,NA,NA,3,2.83333333333333
"13","GU013",4.16666666666667,1.66666666666667,2.08333333333333,1.79166666666667,3.08333333333333,3.16666666666667,3,-1.08333333333333,-1,-1.16666666666667,-2.5,-2.08333333333333,-2.375,6,6,6,6,6,6,3.08333333333333,4.16666666666667,3.16666666666667,4.16666666666667,3,4.16666666666667
"14","GU014",3.5,NA,NA,1,NA,NA,4,NA,NA,2,NA,NA,-2.5,0,0,1,0,0,1,NA,NA,NA,NA,4,2
"15","GU015",2.33333333333333,2.5,2.83333333333333,2.91666666666667,3,4.5,3.08333333333333,0.666666666666667,2.16666666666667,0.75,0.166666666666667,0.5,0.583333333333333,6,6,6,6,6,6,3,2.33333333333333,4.5,2.33333333333333,3.08333333333333,2.33333333333333
"16","GU016",3.16666666666667,NA,NA,1.70833333333333,NA,NA,3.41666666666667,NA,NA,0.25,NA,NA,-1.45833333333333,0,0,6,0,0,6,NA,NA,NA,NA,3.41666666666667,3.16666666666667
"17","GU017",3.66666666666667,NA,2.66666666666667,NA,NA,4.66666666666667,NA,NA,1,NA,NA,-1,NA,0,6,0,0,6,0,NA,NA,4.66666666666667,3.66666666666667,NA,NA
"18","GU018",2.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"19","GU019",3.83333333333333,2.4,2.16666666666667,NA,4.5,4.16666666666667,NA,0.666666666666667,0.333333333333333,NA,-1.4,-1.66666666666667,NA,5,6,0,5,6,0,4.5,3.83333333333333,4.16666666666667,3.83333333333333,NA,NA
"20","GU020",2.33333333333333,1.16666666666667,NA,NA,3.5,NA,NA,1.16666666666667,NA,NA,-1.16666666666667,NA,NA,6,0,0,6,0,0,3.5,2.33333333333333,NA,NA,NA,NA
"21","GU021",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"22","GU022",3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"23","GU023",3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"24","GU024",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"25","GU025",3.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"26","GU026",2.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"27","GU027",3.5,NA,NA,2.41666666666667,NA,NA,2.91666666666667,NA,NA,-0.583333333333333,NA,NA,-1.08333333333333,0,0,6,0,0,6,NA,NA,NA,NA,2.91666666666667,3.5
"28","GU028",4,2.83333333333333,NA,NA,4.66666666666667,NA,NA,0.666666666666667,NA,NA,-1.16666666666667,NA,NA,6,0,0,6,0,0,4.66666666666667,4,NA,NA,NA,NA
"29","GU029",3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"30","GU030",3.91666666666667,3,NA,NA,5,NA,NA,1.08333333333333,NA,NA,-0.916666666666667,NA,NA,6,0,0,6,0,0,5,3.91666666666667,NA,NA,NA,NA
"31","GU031",4.16666666666667,4.4,NA,NA,4.8,NA,NA,0.4,NA,NA,0.4,NA,NA,4,0,0,4,0,0,4.8,4.4,NA,NA,NA,NA
"32","GU032",4.5,3.5,NA,NA,4,NA,NA,-0.5,NA,NA,-1,NA,NA,6,0,0,6,0,0,4,4.5,NA,NA,NA,NA
