"","Subject","item","experienced1","experienced2","experienced3","experienced4","remembered2","remembered3","remembered4","memdev2","memdev3","memdev4","currdev2","currdev3","currdev4"
"1","GU001","anger",4,4,3,3.75,3,4,NA,-1,0,NA,0,-1,-0.25
"2","GU001","confusion",4,4,3,NA,4,5,3.75,0,1,-0.25,0,-1,NA
"3","GU001","fear",5,4,4,3.75,5,5,4.25,0,0,-0.75,-1,-1,-1.25
"4","GU001","frustration",3.5,3.5,3,4,3,4,NA,-0.5,0.5,NA,0,-0.5,0.5
"5","GU001","sadness",3,3,3,NA,3,4,NA,0,1,NA,0,0,NA
"6","GU001","shock",2,4.5,2,2,5,5,4.5,3,3,2.5,2.5,0,0
"7","GU002","anger",3,4,NA,3.75,3,NA,2,0,NA,-1,1,NA,0.75
"8","GU002","confusion",2.5,3,NA,3.25,3,NA,3.5,0.5,NA,1,0.5,NA,0.75
"9","GU002","fear",4,3,NA,5,5,NA,4.75,1,NA,0.75,-1,NA,1
"10","GU002","frustration",2.5,3,NA,3.25,4,NA,2.75,1.5,NA,0.25,0.5,NA,0.75
"11","GU002","sadness",3.5,4,NA,4,3,NA,4.25,-0.5,NA,0.75,0.5,NA,0.5
"12","GU002","shock",4,4,NA,3.25,4,NA,5,0,NA,1,0,NA,-0.75
"13","GU003","anger",2,2,1.5,4,2,2,3,0,0,1,0,-0.5,2
"14","GU003","confusion",2,1,1,1,2,2,4,0,0,2,-1,-1,-1
"15","GU003","fear",1,1,1,1,1,2,3.5,0,1,2.5,0,0,0
"16","GU003","frustration",3,1,2,4.5,4,2,4,1,-1,1,-2,-1,1.5
"17","GU003","sadness",3,1,1.5,2,2,3,3.5,-1,0,0.5,-2,-1.5,-1
"18","GU003","shock",4,1,1,1,4,4,4.5,0,0,0.5,-3,-3,-3
"19","GU004","anger",4,4,5,1.25,3,3,2,-1,-1,-2,0,1,-2.75
"20","GU004","confusion",4,5,3,2,5,5,2.5,1,1,-1.5,1,-1,-2
"21","GU004","fear",5,5,5,5,5,5,5,0,0,0,0,0,0
"22","GU004","frustration",2,3,5,1.25,3,3,2.25,1,1,0.25,1,3,-0.75
"23","GU004","sadness",4,4,4,4.5,4,4,4.5,0,0,0.5,0,0,0.5
"24","GU004","shock",4,NA,5,4,5,5,5,1,1,1,NA,1,0
"25","GU005","anger",5,3,NA,3,3,NA,3,-2,NA,-2,-2,NA,-2
"26","GU005","confusion",5,3,NA,2,5,NA,5,0,NA,0,-2,NA,-3
"27","GU005","fear",4,3.5,NA,4,5,NA,4,1,NA,0,-0.5,NA,0
"28","GU005","frustration",4.5,3,NA,2,5,NA,4,0.5,NA,-0.5,-1.5,NA,-2.5
"29","GU005","sadness",4,3,NA,3,5,NA,3.5,1,NA,-0.5,-1,NA,-1
"30","GU005","shock",4,3,NA,3,5,NA,5,1,NA,1,-1,NA,-1
"31","GU006","anger",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","GU006","confusion",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","GU006","fear",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","GU006","frustration",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","GU006","sadness",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","GU006","shock",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","GU007","anger",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","GU007","confusion",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","GU007","fear",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","GU007","frustration",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","GU007","sadness",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","GU007","shock",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","GU008","anger",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","GU008","confusion",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","GU008","fear",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","GU008","frustration",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","GU008","sadness",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","GU008","shock",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","GU009","anger",5,5,NA,NA,5,NA,NA,0,NA,NA,0,NA,NA
"50","GU009","confusion",4,5,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA
"51","GU009","fear",4,4.5,NA,NA,5,NA,NA,1,NA,NA,0.5,NA,NA
"52","GU009","frustration",5,5,NA,NA,5,NA,NA,0,NA,NA,0,NA,NA
"53","GU009","sadness",5,5,NA,NA,5,NA,NA,0,NA,NA,0,NA,NA
"54","GU009","shock",4.5,4.5,NA,NA,5,NA,NA,0.5,NA,NA,0,NA,NA
"55","GU010","anger",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","GU010","confusion",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","GU010","fear",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","GU010","frustration",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","GU010","sadness",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","GU010","shock",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","GU011","anger",2,4,4,3,5,4,3,3,2,1,2,2,1
"62","GU011","confusion",4,5,2,5,4,5,5,0,1,1,1,-2,1
"63","GU011","fear",5,1,3,3,2,2,5,-3,-3,0,-4,-2,-2
"64","GU011","frustration",5,5,5,5,5,5,5,0,0,0,0,0,0
"65","GU011","sadness",5,4,4,3,5,4,3,0,-1,-2,-1,-1,-2
"66","GU011","shock",5,3,3,5,4,5,5,-1,0,0,-2,-2,0
"67","GU012","anger",1,1,NA,NA,1,NA,1.75,0,NA,0.75,0,NA,NA
"68","GU012","confusion",4,1,NA,2,2,NA,3,-2,NA,-1,-3,NA,-2
"69","GU012","fear",2,2,NA,1,2,NA,1.5,0,NA,-0.5,0,NA,-1
"70","GU012","frustration",2,1,NA,3,1,NA,3.5,-1,NA,1.5,-1,NA,1
"71","GU012","sadness",4,5,NA,4.5,4,NA,3.5,0,NA,-0.5,1,NA,0.5
"72","GU012","shock",4,5,NA,2.5,5,NA,4.75,1,NA,0.75,1,NA,-1.5
"73","GU013","anger",3,2,3.5,2.5,1.5,4.5,4.25,-1.5,1.5,1.25,-1,0.5,-0.5
"74","GU013","confusion",5,1,1,1.25,4,2,2.75,-1,-3,-2.25,-4,-4,-3.75
"75","GU013","fear",3,1,1,1.25,1.5,2,2,-1.5,-1,-1,-2,-2,-1.75
"76","GU013","frustration",4,2,2.5,2,2,3.5,1.75,-2,-0.5,-2.25,-2,-1.5,-2
"77","GU013","sadness",5,3,3,1.75,4.5,3.5,3.25,-0.5,-1.5,-1.75,-2,-2,-3.25
"78","GU013","shock",5,1,1.5,2,5,3.5,4,0,-1.5,-1,-4,-3.5,-3
"79","GU014","anger",4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-3
"80","GU014","confusion",2,NA,NA,1,NA,NA,4,NA,NA,2,NA,NA,-1
"81","GU014","fear",5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-4
"82","GU014","frustration",4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-3
"83","GU014","sadness",4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-3
"84","GU014","shock",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-1
"85","GU015","anger",2,2,3,2,1,4,4,-1,2,2,0,1,0
"86","GU015","confusion",3,2,4,3,4,5,4,1,2,1,-1,1,0
"87","GU015","fear",2,1,2,2,3,4,1.5,1,2,-0.5,-1,0,0
