prev_SubjectID_Prolific_MTurk,prev_pca_score,curr_pca_score,NA_mean_expectation_deviation_experience,Q3,Q4,Q6,Q7
546f8a9cfdf99b4a593414ea,-5.214009123359374,-5.448579604402182,0,1,2,2,3
5484620efdf99b0379939c6a,-3.908432900991812,NA,NA,NA,NA,NA,NA
548491acfdf99b0379939cc0,1.0790432562063443,NA,NA,NA,NA,NA,NA
5484fd09fdf99b38dfb9645c,NA,-3.9524627444073386,NA,3,2,3,3
5490c822fdf99b71ba910e1a,1.112422757148787,2.4672566687959883,NA,2,3,4,5
54af2a48fdf99b09c01b3801,NA,1.937143441268976,0,2,3,3,5
550bb70bfdf99b6853dab45e,1.5323553417764857,1.0770784567469245,NA,2,3,3,4
555527dafdf99b16a75afd54,-2.1221551503865688,NA,NA,NA,NA,NA,NA
557d84c8fdf99b4d577438df,NA,-3.851094365832472,-0.8235294117647058,2,3,5,5
55885869fdf99b4020ba0b64,NA,NA,NA,NA,NA,NA,NA
5588d358fdf99b304ee5674f,5.014369009678485,2.9557735853016434,NA,2,4,1,4
5589be79fdf99b18be320155,NA,NA,NA,NA,NA,NA,NA
5589cd58fdf99b18be3203af,NA,NA,NA,NA,NA,NA,NA
558acd52fdf99b65685f03d9,-3.4499383659378875,-3.2404411327553544,NA,1,2,3,4
5591cd21fdf99b63126f6c60,-3.860098520688669,-5.793760367024573,NA,1,1,2,2
559d9916fdf99b1e2b2dc6b8,NA,-0.5485329822658671,NA,3,4,2,3
559ef308fdf99b2616ff2a4f,-2.788909457733459,-3.176389067517526,NA,2,4,2,4
559fa17cfdf99b69c369d364,NA,-3.5074999947005527,-0.2352941176470588,3,3,2,2
55b237e6fdf99b19ea79d2f7,1.6542403977827815,1.3076588343510722,-0.6470588235294118,3,5,2,3
55b9a9b0fdf99b6906d2aba4,-4.932777630355858,-5.128500952456227,NA,1,2,2,3
55be9292fdf99b4c861994d8,NA,0.7976524997694091,NA,3,5,4,5
55cd909c34e906000a8d1e1e,NA,-3.9760373125010786,NA,2,2,3,5
55ddb84550a1f7000b90d65a,8.25883530376594,9.704083062659912,0.9411764705882352,3,4,2,4
55ef4896b9401300137f40ac,-0.15692938676653292,-3.1494822330361245,0,2,4,4,5
55f09707477925000fdd2a61,0.9164033981609692,NA,NA,NA,NA,NA,NA
55f63fc432af740012171ef6,3.1773419388317063,1.155852344301616,0.4117647058823529,3,4,3,4
5615f0eb7ffc8a00128126f6,-4.204353223413448,NA,NA,NA,NA,NA,NA
56259489ed6e5a0005c80fde,NA,3.2274302660041383,NA,2,3,3,4
563f506acbd4c60011dc9411,-3.5595060079919665,NA,NA,NA,NA,NA,NA
56721761980a3c0011277389,-3.7602439817225033,NA,NA,NA,NA,NA,NA
5687d85e369319000c269c55,1.2590320031000293,-3.650665765016781,NA,4,4,4,4
568a58e0d3d6a7000ba2414e,NA,NA,NA,NA,NA,NA,NA
56942483e0c800000c5969d0,-5.793760367024573,NA,NA,NA,NA,NA,NA
56bd0347d4e218000ca87e53,NA,NA,NA,NA,NA,NA,NA
56bfba439f7a1e000afdcba9,NA,NA,NA,NA,NA,NA,NA
56c18af6eb5b22000d5bad24,NA,NA,NA,NA,NA,NA,NA
56d0f57421cd29000a9737e4,-3.217273304296804,-3.5435315957791853,NA,3,3,4,4
56e130548b1c33000a388671,8.095308886495781,8.228535833382159,NA,1,5,3,4
56e1bbcb6ce054000b3ffcb8,NA,-0.6824750636382075,NA,3,5,2,4
56e6a66af6ed900006a5867c,NA,3.387647208443557,NA,2,4,2,4
56ec151f388e1d000a5924d0,-1.077611372025637,-0.2448045040844296,NA,3,5,2,2
56f0393f3f71990005d0e66d,-5.145259842715355,-4.5527711620867715,0.7647058823529411,2,4,3,5
56f9364e895094000c8f4967,NA,-5.598508723021469,0.2352941176470588,2,2,2,3
56fa002e8425ef000b3a4276,NA,-5.296789978675391,NA,4,4,3,3
56fdff4ee0f9ff000f19c466,-4.785507632661897,-4.998996509205985,NA,1,2,2,3
